TIME	WIND (mph)
0	12.025
10	15.8661
20	23.7002
30	19.0058
40	28.4568
50	15.4822
60	26.21
70	18.0799
80	13.8281
90	14.9463
100	31.7705
120	32.1782
130	39.5576
140	42.6333
150	43.4237
160	44.0353
170	44.1433
180	35.3247
190	45.2609
200	41.0158
210	39.0425
220	33.1408
230	44.1537
240	47.6664
250	48.0521
260	42.3977
270	38.039
280	49.5195
290	46.5335
300	51.118
310	50.5144
320	42.7871
330	34.8468
340	41.2416
350	36.7066
360	49.2448
370	36.192
380	47.5931
390	48.8731
400	51.9359
410	51.9939
420	44.23
430	19.8488
440	17.9456
450	12.4749
460	13.8525
470	13.1243
480	30.3758
490	17.4579
500	25.8237
510	26.5299
520	16.1072
530	21.3692
540	30.9831
550	14.1656
560	19.7047
570	24.1793
580	19.2268
590	16.5021
600	28.0576
610	31.7998
620	18.9112
630	25.1462
640	13.2708
650	22.0961
660	30.9917
670	30.1024
680	18.061
690	13.4075
700	25.6637
710	29.5451
720	23.641
730	15.5578
740	21.5053
750	22.0784
760	20.1118
770	23.3749
780	27.117
790	21.5059
800	19.3562
810	12.7019
820	25.2597
830	14.0936
840	30.4277
850	18.9198
860	19.4996
870	18.3375
880	17.4378
890	17.956
900	23.3456
910	27.2263
920	19.9531
930	29.8033
940	31.8926
950	13.0102
960	15.8813
970	24.5352
980	15.957
990	14.4665
1000	26.8625
1010	30.8214
1020	18.7263
1030	26.6617
1040	26.16
1050	26.9443
1070	33.2201
1080	48.1248
1090	49.0525
1100	36.2116
1110	34.3121
1120	43.0642
1130	32.285
1140	34.2755
1150	41.0902
1160	47.0444
1170	45.723
1180	42.8689
1190	33.4777
1200	40.7344
1210	36.0388
1220	45.9244
1230	37.8071
1240	40.7338
1250	36.6486
1260	43.5574
1270	42.6516
1280	44.5736
1290	35.2038
1300	42.0827
1310	51.2608
1320	45.9152
1330	50.496
1340	35.7989
1350	38.719
1360	35.567
1370	51.9036
1380	21.1488
1390	13.9501
1400	13.8879
1410	30.6303
1420	29.8924
1430	16.546
1440	20.2144
1450	24.5614
1460	21.0323
1470	23.9565
1480	29.0959
1490	24.4955
1500	23.315
1510	15.6854
1520	23.1026
1530	16.8573
1540	24.0945
1550	23.6923
1560	21.8892
1570	26.8149
1580	24.4076
1590	28.0906
1600	23.5207
1610	30.2311
1620	26.5537
1630	25.3555
1640	18.3002
1650	18.1165
1660	14.1711
1670	29.0244
1680	15.0976
1690	13.587
1700	24.8196
1710	22.9018
1720	20.1796
1730	21.3112
1740	15.0531
1750	26.76
1760	28.5337
1770	29.467
1780	18.0012
1790	14.5446
1800	27.6993
1810	24.1928
1820	13.4454
1830	25.0772
1840	14.096
1850	16.5418
1860	30.3996
1870	25.256
1880	21.8508
1890	21.9362
1900	22.1852
1910	25.7632
1920	24.1256
1930	12.1178
1940	14.0124
1950	29.2649
1960	26.9467
1970	19.6022
1980	23.0562
1990	31.1144
2000	15.5316
2010	14.6325
2020	31.0344
2030	12.5567
2040	13.1182
2050	14.6325
2060	29.2863
2070	26.4328
2080	12.2936
2090	26.1581
2100	16.3513
2110	15.3784
2120	18.8197
2130	19.3513
2140	28.0479
2150	22.5307
2160	27.9636
2170	14.8962
2180	20.0483
2190	14.7308
2200	13.3233
2210	23.467
2220	22.961
2230	18.227
2240	28.1608
2250	17.685
2260	29.9046
2270	26.8759
2280	19.2225
2290	16.5698
2300	16.5888
2310	22.8481
2320	13.0761
2330	22.4935
2340	13.8934
2350	29.8307
2360	14.931
2370	30.6328
2380	12.9418
2390	18.7281
2400	19.972
2410	30.9233
2420	22.6845
2430	25.8707
2450	42.5118
2460	51.096
2470	39.9739
2480	36.8219
2490	43.7112
2500	37.1027
2510	45.6802
2520	50.9056
2530	40.71
2540	49.8045
2550	32.1434
2560	50.8195
2570	44.031
2580	47.7231
2590	43.5336
2600	34.8486
2610	36.4465
2620	39.6601
2630	32.0855
2640	40.3584
2650	33.6449
2660	45.1986
2670	49.102
2680	33.297
2690	48.2212
2700	45.2414
2710	45.8298
2720	48.054
2730	42.6027
2740	45.7126
2750	34.8553
2760	25.7901
2770	27.5547
2780	29.3736
2790	26.1313
2800	23.0398
2810	13.1756
2820	14.9035
2830	24.3997
2840	30.4497
2850	25.8908
2860	15.1184
2870	22.4288
2880	14.1284
2890	20.8345
2900	27.642
2910	31.4879
2920	29.4078
2940	47.0127
2950	34.281
2960	40.0941
2970	38.2227
2980	51.8523
2990	32.7715
3000	37.0417
3010	35.7855
3020	36.9538
3030	35.0702
3040	44.4064
3050	49.7074
3060	50.7817
3070	35.9131
3080	47.5931
3090	44.9112
3100	45.1352
3110	50.1829
3120	41.1092
3130	50.4259
3140	45.2835
3150	35.0152
3160	44.7268
3170	43.3907
3180	40.4408
3190	50.8604
3200	42.8115
3210	43.5714
3220	42.7291
3230	37.1057
3240	39.9391
3250	19.0052
3260	27.905
3270	13.4057
3280	23.8149
3290	15.9534
3300	24.8867
3310	24.0859
3320	20.826
3330	19.9305
3340	23.8442
3350	30.9892
3360	19.8341
3370	15.7062
3380	23.489
3390	24.5468
3400	12.9925
3410	17.204
3420	29.9064
3430	26.5689
3440	19.8713
3450	30.0773
3460	19.7621
3470	19.0711
3480	26.9071
3490	26.7887
3500	16.0034
3510	25.6088
3520	19.3568
3530	14.1876
3540	16.0614
3550	25.0967
3560	25.7529
3570	13.5912
3580	12.556
3590	18.1446
3600	14.8535
